column,dtype,missing_count,missing_pct,n_unique
patient_id,object,0,0.0,10000
age,int64,0,0.0,51
sex,int64,0,0.0,2
chest_pain_type,int64,0,0.0,4
resting_bp,int64,0,0.0,84
cholesterol,int64,0,0.0,170
fasting_blood_sugar,int64,0,0.0,2
rest_ecg,int64,0,0.0,3
max_heart_rate,int64,0,0.0,130
exercise_angina,int64,0,0.0,2
st_depression,float64,0,0.0,65
st_slope,int64,0,0.0,3
ca_vessels,int64,0,0.0,4
thal,int64,0,0.0,3
target,int64,0,0.0,2
risk_level,category,0,0.0,3
age_z,float64,0,0.0,51
resting_bp_z,float64,0,0.0,84
cholesterol_z,float64,0,0.0,170
max_heart_rate_z,float64,0,0.0,130
st_depression_z,float64,0,0.0,65
ca_vessels_z,float64,0,0.0,4
cp_0,int64,0,0.0,2
cp_1,int64,0,0.0,2
cp_2,int64,0,0.0,2
cp_3,int64,0,0.0,2
ecg_0,int64,0,0.0,2
ecg_1,int64,0,0.0,2
ecg_2,int64,0,0.0,2
slope_0,int64,0,0.0,2
slope_1,int64,0,0.0,2
slope_2,int64,0,0.0,2
thal_1,int64,0,0.0,2
thal_2,int64,0,0.0,2
thal_3,int64,0,0.0,2
note_count,int64,0,0.0,4
mentions_chest_pain,int64,0,0.0,2
mentions_dyspnea,int64,0,0.0,2
mentions_diabetes,int64,0,0.0,2
mentions_smoking,int64,0,0.0,2
mentions_syncope,int64,0,0.0,2
avg_note_length,float64,0,0.0,196
age_group,object,0,0.0,5
bp_category,object,0,0.0,4
cholesterol_category,object,0,0.0,3
comorbidity_index,int64,0,0.0,7
hr_reserve_ratio,float64,0,0.0,606
framingham_risk_score,float64,0,0.0,23
ten_year_cvd_risk_pct,float64,0,0.0,23
ed_visit_count,float64,0,0.0,14
ed_avg_los_hours,float64,0,0.0,1625
ed_high_acuity_visits,float64,0,0.0,11
ed_avg_resources,float64,0,0.0,186
